,Vietnamese,E
12,Từ [p1_day]/[p1_month]/[p1_year] đến [p2_day]/[p2_month]/[p2_year],"From Mar [p1_day], [p1_year] to Apr [p2_day], [p2_year]"
129,CÁC CHÍNH SÁCH KẾ TOÁN ÁP DỤNG CHỦ YẾU,SUMMARY OF SIGNIFICANT ACCOUNTING POLICIES
197,Bản thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính,These notes are an integral part of and should be read in conjunction with the accompanying financial statements
268,Biến động các khoản vay dài hạn như sau:,"Increases, decreases in long-term borrowings are as follows:"
269,Biến động các khoản vay ngắn hạn như sau:,"Increases, decreases in short-term borrowings are as follows:"
276,Các bên được coi là có liên quan nếu một bên có khả năng kiểm soát hoặc có ảnh hưởng đáng kể đối với bên kia trong việc ra quyết định các chính sách tài chính và hoạt động. Các bên cũng được xem là bên liên quan nếu cùng chịu sự kiểm soát chung hay chịu ảnh hưởng đáng kể chung.,Parties are considered as related parties if the party is able to control or impact significantly on the other party in proposing decisions on financial and operation policies. Parties are also considered to be related if they are subject to same control or same significant influences.
327,Các kỳ kế toán sau sẽ bắt đầu từ ngày 01 tháng 01 và kết thúc vào ngày 31 tháng 12.,The fiscal years after are from January 01 to December 31.
525,"Chứng khoán kinh doanh là loại chứng khoán được công ty nắm giữ với mục đích kinh doanh. Chứng khoán kinh doanh được ghi nhận ban đầu theo giá gốc bao gồm giá mua cộng các chi phí mua. Sau ghi nhận ban đầu, chứng khoán kinh doanh được xác định theo giá gốc trừ đi dự phòng giảm giá chứng khoán kinh doanh. Dự phòng chứng khoán kinh doanh được lập khi giá thị trường của chứng khoán thấp hơn giá trị ghi sổ của chúng.","Trading securities are securities which are held by the Company for business purposes. Trading securities are initially recognized at historical costs including buying prices plus buying costs. After initial recognition, the trading securities are determined by deducting the historical costs against the provision for devaluation of trading securities. Provision for decline in value of trading securities shall be made when the market prices of trading securities are lower than their book value."
555,Công ty áp dụng Chế độ kế toán doanh nghiệp ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014 và Thông tư số 53/2016/TT-BTC ngày 21 tháng 03 năm 2016 của Bộ Tài chính.,"The Company has applied Vietnamese Accounting System in accordance with Circular No. 200/2014/TT-BTC dated December 22, 2014 and Circular No. 53/2016/TT-BTC dated March 21, 2016 of the Ministry of Finance."
556,"Công ty áp dụng Chế độ kế toán doanh nghiệp ban hành theo Thông tư số 200/2014/TT-BTC ngày 22 tháng 12 năm 2014, Thông tư số 75/2015/TT-BTC ngày 18 tháng 05 năm 2015 và Thông tư số 53/2016/TT-BTC ngày 21 tháng 03 năm 2016 của Bộ Tài chính.","The Company has applied Vietnamese Accounting System in accordance with Circular No. 200/2014/TT-BTC dated December 22, 2014, Circular No. 75/2015/TT-BTC dated May 18, 2015 and Circular No. 53/2016/TT-BTC dated March 21, 2016 of the Ministry of Finance."
631,Điều chỉnh giảm lợi nhuận trước thuế,Adjustments to decrease profit before tax
637,"Do việc áp dụng luật thuế và các qui định về thuế đối với các loại nghiệp vụ khác nhau, bao gồm việc xác định giá trị thị trường trong giao dịch kinh doanh giữa các bên có quan hệ liên kết, có thể được giải thích theo nhiều cách khác nhau, nên số liệu về chi phí thuế thu nhập doanh nghiệp đã được ghi nhận ở trên có thể thay đổi tùy theo quyết định cuối cùng của cơ quan thuế.","As the application of tax laws and regulations for different transactions, including the determination of arm’s length prices in business transactions between related parties, may be understood in various ways, the corporate income tax expense recognized above may be adjusted in accordance with the conclusive decision of the tax authority."
638,"Do việc áp dụng luật thuế và các quy định về thuế đối với các loại nghiệp vụ khác nhau, bao gồm việc xác định giá trị thị trường trong giao dịch kinh doanh giữa các bên có quan hệ liên kết, có thể được giải thích theo nhiều cách khác nhau, nên số liệu về chi phí thuế thu nhập doanh nghiệp đã được ghi nhận ở trên có thể thay đổi tùy theo quyết định cuối cùng của cơ quan thuế.","As the application of tax laws and regulations for different transactions, including the determination of arm’s length prices in business transactions between related parties, may be understood in various ways, the corporate income tax expense recognized above may be adjusted in accordance with the conclusive decision of the tax authority."
639,"Do việc áp dụng luật thuế và các quy định về thuế đối với các loại nghiệp vụ khác nhau, bao gồm việc xác định giá trị thị trường trong giao dịch kinh doanh giữa các bên có quan hệ liên kết, có thể được giải thích theo nhiều cách khác nhau, nên số liệu về chi phí thuế thu nhập doanh nghiệp có thể thay đổi tùy theo quyết định cuối cùng của cơ quan thuế.","As the application of tax laws and regulations for different transactions, including the determination of arm’s length prices in business transactions between related parties, may be understood in various ways, the corporate income tax expense may be adjusted in accordance with the conclusive decision of the tax authority."
640,"Do việc áp dụng luật thuế và các qui định về thuế đối với các loại nghiệp vụ khác nhau, bao gồm việc xác định giá trị thị trường trong giao dịch kinh doanh giữa các bên có quan hệ liên kết, có thể được giải thích theo nhiều cách khác nhau, nên số liệu về chi phí thuế thu nhập doanh nghiệp có thể thay đổi tùy theo quyết định cuối cùng của cơ quan thuế.","As the application of tax laws and regulations for different transactions, including the determination of arm’s length prices in business transactions between related parties, may be understood in various ways, the corporate income tax expense may be adjusted in accordance with the conclusive decision of the tax authority."
657,"Doanh thu được xác định tương đối chắc chắn. Khi hợp đồng quy định người mua được quyền trả lại dịch vụ đã mua theo những điều kiện cụ thể, Công ty chỉ được ghi nhận doanh thu khi những điều kiện cụ thể đó không còn tồn tại và người mua không được quyền trả lại dịch vụ đã cung cấp;","Sales are determined reliably. When contracts define that buyers are entitled to return services purchased under specific conditions, the Company shall only record turnovers if such specific conditions no longer exist and buyers are not entitled to return provided services;"
686,Dự phòng giảm giá chứng khoán kinh doanh,Provisions for decrease in value of trading securities
696,"Dự phòng tổn thất cho các khoản đầu tư vào công cụ vốn của đơn vị khác được trích lập căn cứ vào giá trị thị trường của cổ phần hoặc khoản lỗ của bên được đầu tư, ngoại trừ khoản lỗ đó nằm trong dự kiến của Công ty khi quyết định đầu tư.","Provision for impairment of investments in equity instruments of other units is provided basing on the market value of shares or the losses suffered by the invested party, with the exception that the losses have been anticipated by the Company when making decision on investment."
697,Dự phòng tổn thất cho các khoản đầu tư vào công ty con được trích lập khi công ty con bị lỗ ngoại trừ khoản lỗ đó nằm trong dự kiến của Công ty khi quyết định đầu tư.,Provision for impairment of investments in subsidiaries is provided when the subsidiaries suffer losses with the exception that the losses have been anticipated by the Company when making decision on investment.
698,"Dự phòng tổn thất cho các khoản đầu tư vào công ty con, công ty liên doanh, liên kết được trích lập khi công ty con, công ty liên doanh, liên kết bị lỗ ngoại trừ khoản lỗ đó nằm trong dự kiến của Công ty khi quyết định đầu tư.","Provision for impairment of investments in subsidiaries, joint ventures, associates is provided when the subsidiaries, joint ventures, associates suffer losses with the exception that the losses have been anticipated by the Company when making decision on investment."
755,Giảm khác,Other decreases
756,Giảm trong năm,Decreases
758,Giảm vốn trong năm,Capital decrease in the year
